
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    [::1]:56206            *:*                                    20136
  UDP    [fe80::31ed:6177:5bcd:ec8d%13]:1900  *:*                                    20136
  UDP    [fe80::31ed:6177:5bcd:ec8d%13]:56205  *:*                                    20136
  UDP    [fe80::6a84:4a10:6ed0:105%15]:1900  *:*                                    20136
  UDP    [fe80::6a84:4a10:6ed0:105%15]:56204  *:*                                    20136
  UDP    [fe80::7934:3b2:a778:567e%5]:1900  *:*                                    20136
  UDP    [fe80::7934:3b2:a778:567e%5]:56202  *:*                                    20136
  UDP    [fe80::e7d7:1e9a:4e95:7025%14]:1900  *:*                                    20136
  UDP    [fe80::e7d7:1e9a:4e95:7025%14]:56203  *:*                                    20136
  UDP    [fe80::eaa8:12d1:98ef:868%27]:1900  *:*                                    20136
  UDP    [fe80::eaa8:12d1:98ef:868%27]:56207  *:*                                    20136
